story_id,prompt_id,model,SMOG,ARI,LFP,MDD,SRP,SPD,SCC,SVL,EPD,ECC,EVL
0,0,Human,7.475848149327749,3.5418872180451153,0.023148148148148147,1.9188106426201663,7.843355087397234,6.707491263611902,1.684550740116844,3.386567839603954,0.29005000000000003,3.666877370417195,5.9987
1,1,Human,8.4952907291091,4.867987616099072,0.015151515151515152,1.9774881268828637,7.784632784887323,6.88190849810668,1.709511622819853,3.3843441773502985,0.5112315789473684,4.334597706278727,5.8721000000000005
4,4,Human,9.80015041476705,6.521777126099707,0.01935483870967742,1.9887158296249206,8.31139956867496,7.319627636744983,1.7839173064257787,3.6790609041611155,0.46073,2.045597833325934,4.1807
5,5,Human,8.344100000000001,5.616571491810532,0.005780346820809248,2.010885624149513,8.164723235385889,6.9173567150892605,1.528649521015198,2.9118388889255375,0.4149485714285714,5.962639077062034,10.595699999999999
6,6,Human,7.908726449838941,4.637873754152821,0.02027027027027027,1.8851203776705188,8.37799656821515,7.5322352241578026,2.597865019650028,3.7921333915939437,0.23226842105263157,4.038711448705042,3.3598
9,9,Human,7.348242739294969,3.7919128787878797,0.020833333333333332,1.984454360256499,8.125276483215101,6.738289900648116,1.3942410237892993,3.759571433353283,0.51793,1.8087305744718,3.5513
10,10,Human,8.07648339933343,7.250576923076924,0.038461538461538464,2.0348473886121954,8.857498896805293,7.302906791821851,1.5284563492603145,3.881072556948148,0.5164285714285715,1.488757104027675,3.1833
13,13,Human,8.344100000000001,5.81704467353952,0.02054794520547945,1.9542911536447893,8.378175730771789,6.9325775504051155,1.4146082403698408,3.502321059428575,0.31570526315789477,2.7233269772087536,4.6124
14,14,Human,7.492282038375204,1.8164701679171102,0.01935483870967742,1.8173778129660483,8.148612337763876,6.544284048925455,1.7237622640791666,3.1052410201902965,0.22315555555555555,4.6571594202898545,4.5365
17,17,Human,7.492282038375204,4.2214285714285715,0.03225806451612903,1.5190542828951135,9.675021652290724,7.340568062764082,1.3338020778984405,4.212067867408498,0.42680625,3.5262315398120414,4.037
18,18,Human,9.984395529734659,7.236016260162604,0.0028089887640449437,1.9521846388945259,8.27748567920953,6.850224661968024,1.6402212466746167,3.165110745210697,0.33539523809523814,4.059071000461042,4.8420000000000005
19,19,Human,8.548686976883017,2.3961613272311197,0.019230769230769232,1.6134603593001426,8.088904127951476,6.451213010539912,2.2289416027116236,2.6153443654500026,0.35256382978723405,9.94627851140456,10.2426
22,22,Human,6.8360192770164,3.3985964912280693,0.023529411764705882,1.5137143493761138,8.112646778645171,6.916746686637778,1.6122246553848323,3.5865208729851012,0.3535285714285714,5.970805854913946,5.7944
23,23,Human,7.738981096181358,2.6108631184641773,0.17772511848341233,1.4018286854107749,9.317382820266607,7.360963723151951,1.7912211529194244,3.3077138157423485,0.2402969696969697,9.449800393255083,9.2529
26,26,Human,6.42735559955562,0.20795208881098404,0.0070921985815602835,1.418341033966034,7.7025420279972785,6.487398718049657,2.105919047278295,3.2258541940737353,0.15929565217391306,3.0549487200867174,1.8319
27,27,Human,9.210782826323648,6.575527876631082,0.0,2.0647517865588516,8.088579797824282,6.723320444303364,1.5204246700906117,3.418273418997102,0.46826666666666655,3.3932367149758456,5.7989
30,30,Human,8.28583001469385,4.215032421145182,0.009036144578313253,1.8534457219356149,8.356940152300735,6.91022391553185,1.4798426756362257,3.332366753435501,0.2802678571428571,4.496361657021715,6.0633
32,32,Human,7.573540080772712,3.3380382775119593,0.007389162561576354,1.6712885005998106,8.682221702488444,6.989145985342499,1.8059509381517664,3.16816268261368,0.28885217391304346,6.243398176863078,8.275
34,34,Human,8.939507131559953,7.884849681955139,0.039525691699604744,2.1363766538522806,8.328182376186122,7.248695226179671,1.748630153594869,2.8488955144035466,0.630742857142857,9.731540665638086,13.6721
35,35,Human,8.263242389622931,4.315728021978021,0.0036231884057971015,1.7558371116063423,8.270223409074468,6.043763999990721,1.453150507055598,3.1760595528975784,0.428292,4.366049584080899,8.414599999999998
36,36,Human,10.7630783206399,9.979248120300753,0.05263157894736842,1.9719653836501663,8.78065755037868,7.237979977650714,1.2552345659329422,3.7633270763279416,0.4484066666666667,4.29618037812979,5.022600000000001
40,40,Human,9.007467420416297,9.233593995461689,0.03927492447129909,2.172958215398431,8.813889572601981,7.45054658110028,1.5706388740570227,3.7368097543016807,0.6187250000000001,3.89625314861461,7.223999999999999
44,44,Human,7.793537801064561,3.777014925373134,0.009708737864077669,1.9094818457686107,8.118078934240787,6.825499086913782,2.051118432363161,3.3002000787914554,0.25829473684210524,2.5146546423447425,3.4053
49,49,Human,7.285733465282437,5.18892156862745,0.009389671361502348,1.30334707957257,8.790090283331676,6.139455520667004,1.779689100518404,3.109923358210342,0.3105512195121951,6.585259891388675,7.048699999999999
51,51,Human,7.32110970712323,6.824633378317589,0.027237354085603113,2.16115762067332,8.314157259387342,7.233989782835138,1.6470288069561558,3.101988267693979,0.2255208333333333,3.9355049807314773,3.2055
53,53,Human,9.778596075983211,5.116470367591898,0.021806853582554516,1.7165678382430303,8.815119701389806,7.0860026541209225,1.6301381841060147,3.3757721895516153,0.17678181818181818,3.5953408110440037,3.0449
56,56,Human,9.984395529734659,7.520160000000001,0.021447721179624665,2.0012943240667376,8.4783221299331,7.180140012424239,1.467181533582876,3.367087190437553,0.4320916666666667,5.950309846224467,6.877999999999999
59,59,Human,8.930421266530583,5.238221830985914,0.014084507042253521,2.0139242964846873,8.183247886609628,6.912446977274525,1.7217316263934412,3.07542040046198,0.465775,6.102272262026613,10.482099999999999
62,62,Human,6.980632752743321,3.1423838855848167,0.013761467889908258,1.845782988450167,8.270898451777596,6.698677878728378,1.96381554664838,2.8928389038623177,0.3644552631578948,4.508529201119866,13.350099999999998
63,63,Human,8.704169506293173,4.267711163153784,0.13409961685823754,1.5455880176468415,8.142926273397409,7.313691008686303,1.4887906823941053,3.665216007636482,0.24255862068965514,3.336748731084863,4.9167
65,65,Human,7.827709963407827,4.349616368286448,0.018292682926829267,1.6265067099100714,8.724138513138234,7.06127191023455,1.8441878977983681,3.073228597335685,0.18694146341463416,5.052471984179303,5.352
67,67,Human,8.463088693708993,5.599106779745078,0.052104208416833664,1.9200892081027363,8.514430773267708,7.073916238148891,1.906604008578732,2.996354190788234,0.524548717948718,12.217020005971934,12.950399999999998
69,69,Human,9.516144504307135,5.076843317972351,0.0330188679245283,1.8781302715924426,8.07729143686175,6.76245242646459,1.3360907017660983,3.6680481203766893,0.5000666666666668,4.142825582679776,5.581899999999999
80,80,Human,9.162432508145574,6.949932647997166,0.0069124423963133645,2.2356384067032433,8.00437002097185,6.782533102374367,1.6222845481428698,2.9912749925057978,0.333976,3.807469560855488,4.5601
81,81,Human,6.742157984588678,4.319351821992907,0.0136986301369863,2.0358539101411903,8.436696348386617,6.99578516134849,1.7624727773786146,3.2321765135709875,0.37762571428571423,4.743871361401241,11.240499999999999
87,87,Human,8.634040054169528,6.4612229016120075,0.0078125,2.2539921521500466,8.380271516399269,7.054337425780016,1.5021024720284624,3.5387920619446915,0.44417500000000004,4.770091283336317,4.1689
89,89,Human,8.360895534625664,5.392609012805963,0.04358974358974359,1.977829197223984,8.709025335244258,7.260827821818272,1.5767932164423717,3.2255033773337636,0.32118,4.488888888888889,5.7891
91,91,Human,6.79490614679532,3.9201607387140918,0.03488372093023256,1.6847885139551808,8.554967230833944,7.668759135529599,1.4646662829611026,4.210706255380924,0.35129411764705887,2.655756659403211,3.2984
92,92,Human,6.605766666666667,6.7978743961352635,0.016853932584269662,1.7042778010519943,8.624989117781798,5.7393842857588675,1.7763268786242878,3.324149546591669,0.1803666666666667,3.574448407979919,3.5071000000000008
93,93,Human,8.648137234880735,6.338699186991871,0.021739130434782608,1.859156907906908,9.059331959160065,7.3236297010921145,1.3510868397202471,3.435269149940752,0.34368620689655177,5.011514481094126,7.4101
94,94,Human,7.6298220110433,0.7778655608904401,0.013452914798206279,1.5321374516687016,8.44763917468843,6.541986664039598,1.9476284460817455,3.169982042037269,0.24605806451612905,5.801490721022208,4.0926
384,0,GPT-2 (tag),8.841846274778883,6.286939423546652,0.01634877384196185,1.9386511658276362,7.93664640535728,6.510727374562499,1.5687238785746118,3.0285332994030374,0.40981249999999997,4.619557559532197,7.1735999999999995
385,1,GPT-2 (tag),7.285733465282437,3.7413262892288266,0.005305039787798408,1.7420217830722033,8.01998012330934,6.917027216756927,1.5931829316065107,3.1695622780583705,0.3469617647058824,8.359339569160998,8.7279
388,4,GPT-2 (tag),6.816661863887846,5.524666666666668,0.020338983050847456,1.7863629426129426,8.140817927282074,6.877856485871922,2.154806652413068,3.10270646537841,0.2702518518518519,6.3110188548694,4.3043
389,5,GPT-2 (tag),9.592334608150937,6.33800518134715,0.004914004914004914,2.2249505676907955,7.405481211058059,6.372791895109568,1.6927321788440515,2.9640589517727554,0.5929166666666666,5.401199423062325,10.0763
390,6,GPT-2 (tag),7.11905507035037,1.8747297943567673,0.022292993630573247,1.4974451876625792,7.663729438633905,6.543890490954845,1.7950465406716969,3.1705693002297184,0.18381333333333333,3.7436524100475213,4.8944
393,9,GPT-2 (tag),7.168621630094336,3.1935416666666683,0.00411522633744856,2.146677028204376,7.7990727661269466,6.66534402115643,1.6988403616860275,3.304967720792826,0.4773529411764705,6.062303899596591,5.3951
394,10,GPT-2 (tag),5.7502877580894305,2.6798861336032367,0.004629629629629629,2.005334558652636,7.499601301739237,6.336460695420352,1.6950718773952962,3.205219874469365,0.5193888888888888,3.4544043748152524,6.5887
397,13,GPT-2 (tag),5.900188976854958,2.3792699313227814,0.007444168734491315,1.9328979243301494,8.131665253671127,6.603491537045362,2.016886643342201,2.8467722056388607,0.38030555555555556,6.697485568926719,8.398700000000002
398,14,GPT-2 (tag),6.522977012572876,3.430512079831935,0.004424778761061947,1.4567658276125095,7.481023398126771,6.592160378608403,1.8055599813657845,3.3207976532599757,0.3105875,4.448349943307274,6.8363000000000005
402,18,GPT-2 (tag),7.675431598112922,4.792248289345061,0.005797101449275362,2.0231368147837285,8.407798645350704,7.174509489243008,1.74436943786472,3.2718078064860427,0.2951483870967742,4.258202634150883,5.7498000000000005
403,19,GPT-2 (tag),6.42735559955562,1.3047000618429223,0.0,1.7163596384184618,7.899760280556704,6.682383115691794,2.120971727054022,3.301138920048094,0.16553333333333334,3.083673997412678,3.2756
406,22,GPT-2 (tag),6.18269132825596,7.661071428571432,0.0,2.8356154865046794,7.47610273285065,6.643250543651824,1.6098466473286919,3.5980920662849534,0.4006833333333333,1.8346306471306468,3.2542000000000004
407,23,GPT-2 (tag),7.0983637204850245,4.284807499163044,0.0,1.946320650072899,8.148331834424885,6.7377722144536145,1.914852771864652,2.9039238292339293,0.32674827586206895,5.68019422131639,6.3518
411,27,GPT-2 (tag),7.423996415210883,4.90316735487005,0.00273224043715847,2.133429843738768,7.53911513438523,6.320007070434156,1.6469047198439484,3.014206228246879,0.5202272727272728,6.069364161849712,7.1036
414,30,GPT-2 (tag),7.921354282810033,4.833990768884384,0.011940298507462687,1.8353730637554166,8.10273895398931,6.517461229850555,1.7282713579207916,3.0546397624262376,0.20503448275862068,2.3430665563305353,4.126
416,32,GPT-2 (tag),8.28583001469385,4.6736012608353015,0.0,2.1069707505437356,7.519312178964916,6.312146216658544,1.7148826270947835,2.88316362964954,0.5548576923076922,7.516438284791328,9.2265
418,34,GPT-2 (tag),6.280692351149826,5.838493913043479,0.0,2.365318780818848,7.800268875837829,6.693488741518075,2.288656359119969,3.18060360769048,0.2782909090909091,3.2422814171476997,3.0612000000000004
419,35,GPT-2 (tag),6.6274283507984215,3.194250000000004,0.011764705882352941,1.7055516980439582,8.213300928499486,6.521966844639246,1.7466682848156414,3.5786286605387785,0.107275,2.7963506028022156,0.8582000000000001
420,36,GPT-2 (tag),5.565023196281405,3.4253767244428737,0.022813688212927757,1.7180292374103114,7.917114788904066,6.221550771736866,2.073287868348843,2.887595684930267,0.3272833333333333,3.2634509119614443,5.4087
424,40,GPT-2 (tag),6.532088108194934,2.7293159522757406,0.00273224043715847,1.807301358106585,7.963983250267763,6.588271489241322,1.6513678945037387,3.336798739752519,0.2619322580645161,6.606916192026037,6.2539
437,53,GPT-2 (tag),6.996647511020388,4.339333333333332,0.012698412698412698,1.8205784139607668,7.746466559288058,6.766172601507571,1.6805987543823289,3.216951438234341,0.3347846153846153,3.3063891210210437,5.4270000000000005
440,56,GPT-2 (tag),9.642632912329528,5.5027431906614765,0.003816793893129771,2.052687601356332,8.067110279744435,6.86820464418745,1.6181289391290645,3.5049294876611548,0.5046263157894737,3.8066859888037485,7.1713
443,59,GPT-2 (tag),6.742157984588678,5.180349726775955,0.022727272727272728,1.7707808620154664,8.192484580130454,6.693756899664734,1.701104508443328,3.21926454643478,0.2503096774193548,3.2768581081081076,4.5047
447,63,GPT-2 (tag),7.748469712250962,4.087499999999999,0.013201320132013201,1.663636074667388,8.275480950876208,6.510529622145079,1.8311341792996103,3.084900310053503,0.24262580645161283,4.071343509797552,4.1037
449,65,GPT-2 (tag),8.548686976883017,3.522981651376149,0.013574660633484163,1.8760961538461536,7.473778712769435,6.312659487896053,1.5185364675144866,3.683749401604186,0.2368,3.574197648554179,4.066
451,67,GPT-2 (tag),8.124751697461797,5.10075630252101,0.0136986301369863,1.8820203983974038,8.10665895543564,6.7252609233845675,1.560997039704339,2.983226528983875,0.24003750000000001,4.919116234390011,5.486
464,80,GPT-2 (tag),7.273561745256522,5.43844619010212,0.0,2.287864990672234,7.20171392181493,6.372213733489611,1.9484992198305933,3.2730281780971238,0.26687222222222223,3.3907672760640932,3.2767999999999997
465,81,GPT-2 (tag),6.714681859716394,3.12481240981241,0.005249343832020997,1.7946665197793017,7.535505126248667,6.579228901785288,1.9206301631219922,3.0706181086045015,0.1671058823529412,3.651648563532361,4.1822
